text,label
Liability for breach of confidentiality obligations shall not be subject to the limitations set forth in this Section.,Liability
The limitations of liability set forth herein shall apply notwithstanding any failure of essential purpose.,Liability
"Any inventions, discoveries, or improvements conceived in the course of performing the Services shall be the sole property of the Company.",Intellectual Property
The obligations of confidentiality shall survive termination of this Agreement for a period of five (5) years.,Confidentiality
"Upon termination, all rights and obligations of the parties shall cease, except those that by their nature survive termination.",Termination
This Agreement constitutes the entire agreement between the parties and supersedes all prior agreements and understandings.,Other
The Service Provider may terminate this Agreement upon sixty (60) days notice if the Client fails to pay any undisputed invoice.,Termination
The Client shall pay all invoices within thirty (30) days of receipt.,Payment
This Agreement may not be assigned by either party without the prior written consent of the other party.,Other
The Company may set off any amounts owed to it against any amounts payable to the Client under this Agreement.,Payment
"The Client shall pay a deposit of USD 50,000 upon execution of this Agreement, with the balance due upon completion.",Payment
The prevailing party in any dispute shall be entitled to recover its reasonable attorneys' fees and costs.,Dispute Resolution
"All copyright, patent, trademark, and trade secret rights in the Work Product shall belong to the Company.",Intellectual Property
"Each party shall indemnify, defend, and hold harmless the other party from any claims arising out of its breach of this Agreement.",Liability
Invoices shall be deemed accepted unless disputed in writing within fourteen (14) days of receipt.,Payment
All Confidential Information remains the sole property of the Disclosing Party.,Confidentiality
"The Client shall pay a deposit of INR 5,00,000 upon execution of this Agreement, with the balance due upon completion.",Payment
"All copyright, patent, trademark, and trade secret rights in the Work Product shall belong to the Company.",Intellectual Property
"All payments shall be made in USD 1,000,000 or its equivalent in the currency specified herein.",Payment
This Agreement may be terminated by mutual written consent of the parties.,Termination
Either party may terminate this Agreement immediately upon a material breach by the other party that remains uncured for thirty (30) days after written notice.,Termination
The parties shall attempt in good faith to resolve any dispute through amicable negotiations within ninety (90) days of written notice.,Dispute Resolution
"The Receiving Party may disclose Confidential Information if required by law, provided it gives prompt notice to the Disclosing Party.",Confidentiality
The Company may terminate this Agreement for convenience upon thirty (30) days written notice to the Client.,Termination
Payment obligations are non-cancellable and fees paid are non-refundable except as expressly stated herein.,Payment
The parties shall attempt in good faith to resolve any dispute through amicable negotiations within one hundred twenty (120) days of written notice.,Dispute Resolution
"Late payments shall accrue interest at the rate of 1.5% per month, or the maximum rate permitted by law.",Payment
"The Company shall not be liable for any loss of profits, revenue, data, or business opportunity.",Liability
Nothing in this Section shall prevent either party from seeking injunctive relief in any court of competent jurisdiction.,Dispute Resolution
Confidential Information shall not be disclosed to any third party without the prior written consent of the Disclosing Party.,Confidentiality
"The Licensee shall not reverse engineer, decompile, or disassemble the Software.",Intellectual Property
The courts of the Republic of Singapore shall have exclusive jurisdiction over any dispute arising under this Agreement.,Dispute Resolution
This Agreement may be amended only by a written instrument signed by both parties.,Other
"The Client grants the Service Provider a non-exclusive, royalty-free license to use its trademarks solely for the purpose of performing the Services.",Intellectual Property
Either party may terminate this Agreement immediately upon a material breach by the other party that remains uncured for sixty (60) days after written notice.,Termination
Either party may terminate this Agreement immediately upon a material breach by the other party that remains uncured for thirty (30) days after written notice.,Termination
The Receiving Party shall protect Confidential Information using at least the same degree of care it uses for its own confidential information.,Confidentiality
Confidential Information shall not be disclosed to any third party without the prior written consent of the Disclosing Party.,Confidentiality
The confidentiality obligations herein shall not apply to information independently developed by the Receiving Party without use of the Confidential Information.,Confidentiality
The Receiving Party shall protect Confidential Information using at least the same degree of care it uses for its own confidential information.,Confidentiality
"Notwithstanding the foregoing, the Client may suspend performance and terminate this Agreement if payment is not received within thirty (30) days.",Termination
All Confidential Information remains the sole property of the Disclosing Party.,Confidentiality
The Client shall indemnify the Service Provider against all losses arising from the Client's use of the deliverables.,Liability
All intellectual property rights in the deliverables shall vest in the Client upon full payment of all fees.,Intellectual Property
"All amounts payable under this Agreement are exclusive of applicable taxes, which shall be borne by the Client.",Payment
"The Service Provider shall issue invoices monthly, and the Client shall pay each invoice within fifteen (15) days.",Payment
"Any claim must be brought within one (1) year after the cause of action arises, or such claim shall be barred.",Dispute Resolution
This Agreement may be terminated by the Client upon fourteen (14) days prior written notice.,Termination
The obligations of confidentiality shall survive termination of this Agreement for a period of five (5) years.,Confidentiality
Invoices shall be deemed accepted unless disputed in writing within thirty (30) days of receipt.,Payment
"The Client shall pay a deposit of GBP 20,000 upon execution of this Agreement, with the balance due upon completion.",Payment
The rights and obligations of the parties under this Agreement shall be binding upon and inure to the benefit of their respective successors and permitted assigns.,Other
The Receiving Party shall return or destroy all Confidential Information upon written request of the Disclosing Party.,Confidentiality
No waiver of any provision of this Agreement shall be effective unless in writing and signed by the waiving party.,Other
The prevailing party in any dispute shall be entitled to recover its reasonable attorneys' fees and costs.,Dispute Resolution
"Any notice required under this Agreement shall be in writing and delivered by hand, courier, or certified mail.",Other
The headings used in this Agreement are for convenience only and shall not affect the interpretation of any provision.,Other
Confidential Information does not include information that is or becomes publicly available through no fault of the Receiving Party.,Confidentiality
"In no event shall either party be liable for any indirect, incidental, special, or consequential damages.",Liability
"The arbitration shall be conducted in English, and the arbitral award shall be final and binding on both parties.",Dispute Resolution
"All copyright, patent, trademark, and trade secret rights in the Work Product shall belong to the Company.",Intellectual Property
"Upon termination, all rights and obligations of the parties shall cease, except those that by their nature survive termination.",Termination
"If either party becomes insolvent, the other party may terminate this Agreement immediately by written notice.",Termination
"The Client grants the Service Provider a non-exclusive, royalty-free license to use its trademarks solely for the purpose of performing the Services.",Intellectual Property
Confidential Information shall not be disclosed to any third party without the prior written consent of the Disclosing Party.,Confidentiality
Termination of this Agreement shall not relieve either party of any obligation accrued prior to the effective date of termination.,Termination
All Confidential Information remains the sole property of the Disclosing Party.,Confidentiality
All Confidential Information remains the sole property of the Disclosing Party.,Confidentiality
